SEQ,COUNTRY,RESIDENCE,SEX,AGE,HINCOME,,MARRIAGE,CHILD,JOB,Q33,Q34_JP,,,,,,,,,,,,,,,,,,,,,,,
,国,居住地,性別,年齢,"世帯
収入",HML,未既婚,子どもの有無,職業,最近の、あなたの「食事の風景」,"写真の説明（和訳）
・撮影した食事　・撮影した時期　・時間帯
・どこで　・誰と　・何をしながら　・何を食べたか
・誰が作った料理か、あるいは、どこで買った料理か","写真の内容（栄養成分＆メイン色）
""Simply discribe food, tell it's ingredients and estimate total nutrients(numerical), plate counts, main colors of food(HTML color codes)""",写真URL,写真,カラー１,カラー２,カラー３,カラー４,カラー５,カラー６,カラー７,容量（g）,糖分（g）,塩分（g）,カリウム（mg）,カロリー (kcal),タンパク質 (g),脂肪 (g),炭水化物 (g),繊維 (g),推定人数,料理,推定人数カテゴリ,食事の相手
723,SG,北西地区,男性,17歳,"S$ 100,000 - 124,999",2,未婚,いない,無職,SEQ0723_1.webp,"夕食
1月8日に撮影
午後9時
ホットトマト（レストラン）で撮影
友人と一緒に
サッカーをした後
パスタを食べた",ペンネ・ボロネーゼ。牛挽き肉のトマトミートソースをペンネパスタに絡め、パルメザンチーズとルッコラをトッピング。ガーリックブレッドとトマトスープが付け合わせ。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0723_1.webp,,#C0392B,#E8A045,#2ECC71,#F5DEB3,#D4A017,#8B4513,#3498DB,450,9,2.8,680,720,32,22,95,6,1,洋食,2人,友達
724,SG,南西地区,男性,18歳,"S$ 125,000 - 149,999",2,未婚,いない,大学生（短大含む）、高専生、大学院生,SEQ0724_1.webp,"夕食
2024年1月17日
午後8時
自宅で
家族
食事の準備をしている
寿司
買ってきた",サーモン寿司盛り合わせ。サーモン刺身、サーモン軍艦（イクラトッピング）、サーモン巻き、エビマヨロール等を含む豪華なセット。新鮮なサーモンとシャリを使用。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0724_1.webp,,#E8724A,#F4A460,#FFFFFF,#1C1C1C,#FF4500,#90EE90,#F5F5DC,650,12,4.8,980,720,48,22,82,2,2,和食,3人,家族
725,SG,シンガポール中央地区,男性,18歳,"S$ 150,000 - 199,999",3,未婚,いない,専門学校生,SEQ0725_1.webp,母が作った夕食。1週間前の写真。自宅で食べた,左皿は濃い醤油ベースのタレで煮込んだ鶏手羽（紅焼鶏翅）、右皿はレンコンと緑ピーマン・唐辛子を炒めた蓮藕炒め。どちらも中国家庭料理の定番で、艶やかな濃い茶色と白いレンコンの穴が特徴的。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0725_1.webp,,#8B2500,#C4470A,#F5F0E8,#6B8E4E,#D4B483,#3D2B1F,#E8DCC8,650,18,4.2,980,720,42,32,58,6.5,2,伝統ローカル料理,2人,家族
726,SG,北東地区,男性,19歳,"S$ 125,000 - 149,999",2,未婚,いない,サービス業（理容師、運転手など）,SEQ0726_1.webp,軍にいる友人と旅行したときに食べたおやつ兼朝食。眠気覚ましとエネルギー補給のためにケーキとカフェラテ,バタースポンジケーキの一切れとアイスカフェラテのセット。ケーキは黄金色でふんわりとした食感、コーヒーはミルクと氷が入ったシンガポール風カフェスタイル。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0726_1.webp,,#F4C84A,#8B5E3C,#D4A96A,#4A7C59,#C8D8C0,#F5F0E8,#B8860B,320,28,0.6,220,520,7,22,72,1.2,1,洋食,2人,友達
727,SG,シンガポール中央地区,男性,20歳,"S$ 200,000 or more",3,未婚,いない,自由業、専門職（医者、弁護士など）,SEQ0727_1.webp,数日前に家族と一緒に食べたランチ。アストンズ（レストラン）にて、レモンライムチキンと、サイドディッシュにポテトサラダとマッシュポテト,グリルチキンにグレービーソースをかけ、マッシュポテト（グレービー添え）、赤みじゃがいものポテトサラダ、レモンを添えた西洋風プレート。炭火焼きの焦げ目が特徴的。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0727_1.webp,,#8B4513,#D2691E,#F5F5DC,#FFFACD,#C8A96E,#F0E68C,#A0522D,550,8,2.8,920,720,48,32,52,4,1,洋食,3人,家族
728,SG,北西地区,男性,20歳,"S$ 150,000 - 199,999",3,未婚,いない,高校生、浪人生,SEQ0728_1.webp,夕食時に友人と外食した際に撮った写真,トンカツ定食セット。揚げた豚カツ・エビフライをメインに、白米、味噌汁、千切りキャベツ、レモン添え。パン粉揚げの衣がサクサクの日本式揚げ物定食。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0728_1.webp,,#C4922A,#F5F0E8,#2C2C2C,#8B6914,#E8D5B7,#4A7C3F,#F4C430,1800,18,5.2,980,1650,72,68,195,8,3,和食,2人,友達
729,SG,北東地区,男性,21歳,"S$ 125,000 - 149,999",2,既婚,いない,自由業、専門職（医者、弁護士など）,SEQ0729_1.webp,ポークリブは好物なので、母と一緒に大盛りを食べた,濃厚な甘辛タレで絡めた豚スペアリブ。揚げてからソースで煮絡めた料理で、レタスの上に盛り付けられている。外はカリッと中は柔らかい食感。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0729_1.webp,,#8B2500,#5C1A00,#4A7C3F,#C4601A,#D4A96A,#2D1A0E,#F5F0EB,350,18,2.8,520,580,32,38,24,1.5,1,洋食,1人,家族
730,SG,南東地区,男性,22歳,"S$ 150,000 - 199,999",3,未婚,いない,大学生（短大含む）、高専生、大学院生,SEQ0730_2.webp,3日前の夕食。パートナーと一緒にモスバーガー,モスバーガーのフライドポテト2人分。厚切りタイプのゴールデンフライ。バスケットに盛られ、ケチャップ付き。外はサクサク、中はふんわりの揚げたてポテト。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0730_2.webp,,#F4C430,#D4A017,#F5F5DC,#8B4513,#FFFFFF,#C8A96E,#E8DCC8,300,1.2,1.4,980,468,5.8,22.4,62,4.6,2,洋食,2人,恋人・配偶者
731,SG,北東地区,男性,23歳,"S$ 150,000 - 199,999",3,未婚,いない,大学生（短大含む）、高専生、大学院生,SEQ0731_1.webp,夕食。今日。ショッピングモール。一人。もち米を食べている。お店で購入した,醤油ベースのタレで味付けされた粘り気のある炒めご飯。黒い食材（きのこまたは黒豆）が見え、濃い黄金色に仕上げられたシンガポール風スティッキーライス（ロー・マイ・ファン風）。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0731_1.webp,,#C8860A,#D4942B,#8B5E0A,#F0B845,#3D2B0A,#E8A835,#B87820,200,3.5,1.8,120,320,6.5,5.2,62,1.2,1,伝統ローカル料理,1人,自分
