SEQ,COUNTRY,RESIDENCE,SEX,AGE,HINCOME,,MARRIAGE,CHILD,JOB,Q33,Q34_JP,,,,,,,,,,,,,,,,,,,,,,,
,国,居住地,性別,年齢,"世帯
収入",HML,未既婚,子どもの有無,職業,最近の、あなたの「食事の風景」,"写真の説明（和訳）
・撮影した食事　・撮影した時期　・時間帯
・どこで　・誰と　・何をしながら　・何を食べたか
・誰が作った料理か、あるいは、どこで買った料理か",写真の内容（栄養成分＆メイン色）,写真URL,写真,カラー１,カラー２,カラー３,カラー４,カラー５,カラー６,カラー７,容量（g）,糖分（g）,塩分（g）,カリウム（mg）,カロリー (kcal),タンパク質 (g),脂肪 (g),炭水化物 (g),繊維 (g),推定人数,料理,推定人数カテゴリ,食事の相手
1,JP,神奈川県,男性,15歳,"1,000万円以上 1,100万円未満",3,未婚,いない,高校生、浪人生,SEQ0001_2.webp,夕食、牛丼、3日前、店の人,牛丼にキムチと卵をトッピングした丼料理。甘辛く煮た牛肉と白米の上に、鮮やかな赤色のキムチと炒り卵が盛り付けられている。吉野家や松屋などの牛丼チェーン店と思われる。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0001_2.webp,,#F5F0E8,#C8860A,#D94F2B,#F0C040,#8B6914,#E8E0D0,#A0522D,450,18,2.8,520,720,22,18,98,3.5,1,洋食,1人,自分
2,JP,千葉県,男性,16歳,わからない／答えたくない,0,未婚,いる,高校生、浪人生,SEQ0002_1.webp,"昼食
2024/01/03
15時頃
家族
話しながら
ラーメン
お店の調理師さん",神座（かむくら）の醤油ラーメン。大量の青ネギ、キムチ、赤いトッピングが乗り、スープは透明感のある醤油ベース。餃子3個と白ご飯のセットメニュー。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0002_1.webp,,#D4691E,#4CAF50,#F5F5DC,#C62828,#8B6914,#FFFFFF,#2E7D32,950,18,7.8,620,920,32,28,128,6.5,1,伝統ローカル料理,1人,家族
3,JP,千葉県,男性,17歳,わからない／答えたくない,0,未婚,いない,高校生、浪人生,SEQ0003_1.webp,"昼食
11時半頃
友達と
おにぎり、味噌汁、からあげ
お店で買ったもの",おにぎり（海苔巻き）、味噌汁（豆腐・わかめ入り）、唐揚げ、煮卵、漬物（にんじん）で構成された典型的な和食定食セット。緑茶付き。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0003_1.webp,,#2C1A0E,#D4A017,#8B4513,#F5DEB3,#4A7C59,#C0392B,#F0E68C,520,8.5,3.2,680,620,28.5,22,72,3.5,1,伝統ローカル料理,1人,友達
4,JP,埼玉県,男性,19歳,450万円以上 500万円未満,2,未婚,いない,大学生（短大含む）、高専生、大学院生,SEQ0004_1.webp,"1月16日の夕食の写真
家族と一緒に夕食を食べた
作ったのは母親
家族団欒でゆっくり食べていた",醤油ラーメン（チャーシュー・メンマ・ネギ入り）、焼き餃子5個（ディップソース付き）、エビと野菜の炒飯のセットメニュー。中華風定食スタイル。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0004_1.webp,,#C8860A,#F5DEB3,#8B4513,#F4A460,#D2691E,#FFFACD,#556B2F,950,18,7.5,820,1050,38,32,145,5.5,1,洋食,1人,家族
5,JP,埼玉県,男性,19歳,わからない／答えたくない,0,未婚,いない,大学生（短大含む）、高専生、大学院生,SEQ0005_1.webp,"1/16 12:30
昼食
授業の休み時間
自分が作った弁当　
白米、鮭フレーク、ほうれん草、卵焼き、鶏肉とじゃがいもの甘酢炒め",お弁当箱に詰められた和風ランチ。ケチャップがけオムライス風卵焼き、白米、そぼろ、ほうれん草のおひたし、鶏肉と大根の煮物を含む家庭的な献立。みかん付き。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0005_1.webp,,#F5F0E8,#E8A020,#C0392B,#4A7C3F,#D4B896,#8B6914,#F28C28,550,18,3.2,820,620,28,18,82,4.5,1,伝統ローカル料理,1人,自分
6,JP,東京都,男性,21歳,"900万円以上 1,000万円未満",3,未婚,いない,大学生（短大含む）、高専生、大学院生,SEQ0006_1.webp,昼食で友達とスノボをしに行ったときにたべたもの。,豚丼（ぶた丼）。薄切り豚肉を甘辛タレで炒め、白米の上に盛り付け、温泉卵・刻みネギ・白ごまをトッピングした日本の丼料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0006_1.webp,,#C8A882,#F5F0E8,#6B8F3E,#F9E4C8,#E8D5B0,#4A3728,#FAF5F0,450,18,2.8,620,680,28,22,85,2.5,1,伝統ローカル料理,1人,友達
7,JP,東京都,男性,23歳,400万円以上 450万円未満,2,未婚,いない,技術職（エンジニア、プログラマーなど）,SEQ0007_1.webp,友達と一緒、昼食、外食屋さんで12時ごろ,ざるそば（冷やしそば）。蕎麦麦を使った灰色がかった細麺に、刻み海苔、カイワレ大根、白髪ネギをトッピング。つけ汁（めんつゆ）と薬味（ネギ、わさび）が添えられた和食の定番冷製麺料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0007_1.webp,,#8B6F5E,#2C1A0E,#4A4A3A,#C8C0A8,#3D5C2E,#F5F0E8,#1C1C1C,380,8.5,2.8,320,310,12.5,2,62,3.5,1,伝統ローカル料理,1人,友達
9,JP,東京都,男性,24歳,600万円以上 700万円未満,2,未婚,いない,大学生（短大含む）、高専生、大学院生,SEQ0009_2.webp,おやつ 2024年1/16 19:20頃です。一人です。買ってきたやつです。,アルフォートミニチョコレート（小麦全粒粉）とDARSホワイトチョコレートの2種類の市販チョコレート菓子。7-ELEVEnの強炭酸水500mlも含む。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0009_2.webp,,#1B4BA0,#FFFFFF,#8B5E3C,#F5D78E,#C8A96E,#4A4A4A,#E8E8E8,210,42,0.4,180,520,6.2,28,62,1.8,1,伝統ローカル料理,1人,自分
10,JP,東京都,男性,25歳,300万円以上 350万円未満,1,未婚,いない,大学生（短大含む）、高専生、大学院生,SEQ0010_1.webp,"今日の夕食
キムチ鍋を食べた",韓国風豆腐チゲ。白い豆腐、きのこ、キムチなどをコチュジャンベースの赤褐色スープで煮込んだ辛味鍋料理。フライパンで調理され、具材たっぷりで家庭的な仕上がり。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0010_1.webp,,#C4611F,#F5F0DC,#8B2500,#D4A84B,#4A3728,#E8C99A,#6B6B4F,800,6,4.2,780,320,18,12,22,3.5,1,伝統ローカル料理,1人,自分
11,JP,東京都,男性,26歳,800万円以上 900万円未満,3,未婚,いない,事務職（教員も含む）,SEQ0011_1.webp,"昼食
2023年7月3日
12時ごろ
自宅で
一人で
携帯を見ながら
宅食を食べた",仕切り付き黒トレーに盛られた和食の弁当。クリームソースがけの魚（タラ等）、海藻と鶏肉の煮物、ひじき炒め風、白インゲン豆の煮物、キャベツと卵の炒め物、海老入りトマト煮が並ぶ。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0011_1.webp,,#F5F0E8,#2C1A0E,#D4521A,#F2D060,#8B7355,#F8F8F0,#4A3728,450,12,3.2,820,380,22,14,38,5.5,1,伝統ローカル料理,1人,自分
12,JP,埼玉県,男性,27歳,400万円以上 450万円未満,2,既婚,いない,事務職（教員も含む）,SEQ0012_1.webp,夕飯コロッケ,コロッケ3個（パン粉揚げ、じゃがいも入り）、白米、コーン・きゅうり・鶏肉・レタスのサラダ。揚げ物と和定食スタイルの構成。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0012_1.webp,,#D4853A,#F5E6C8,#FFFFFF,#F5F0E8,#C8D89A,#F5C842,#8B7355,650,18,2.8,820,780,18,28,105,5.5,1,伝統ローカル料理,1人,自分
13,JP,神奈川県,男性,27歳,800万円以上 900万円未満,3,未婚,いない,事務職（教員も含む）,SEQ0013_1.webp,友達との食事会,鉄板ハンバーグ定食。牛肉ハンバーグに刻みネギともやしをトッピングし、ポテトウェッジを添えた鉄板焼き。ご飯、サラダ、スープ付きの定食スタイル。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0013_1.webp,,#8B4513,#F5F5DC,#6B8E23,#FFD700,#FF6347,#D2691E,#FFFAFA,750,18,3.8,980,820,32,28,95,6,1,伝統ローカル料理,1人,友達
14,JP,東京都,男性,28歳,200万円以上 250万円未満,1,未婚,いない,事務職（教員も含む）,SEQ0014_1.webp,"夕食
1月16日
19時頃

台湾まぜそばの店で食べる",台湾まぜそばの元祖「はなび」の看板メニュー。太麺の上に挽き肉、生卵黄、ネギ、海苔、魚粉、ニラなどをトッピングしたブロスなしの混ぜ麺料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0014_1.webp,,#8B4513,#F4A460,#228B22,#1C1C1C,#FF8C00,#90EE90,#F5F5DC,450,8,3.8,520,720,32,28,82,4.5,1,伝統ローカル料理,1人,自分
15,JP,千葉県,男性,28歳,500万円以上 600万円未満,2,未婚,いない,その他,SEQ0015_1.webp,"夕食
2024/1/15 20時45分
自宅
1人
買ったキンパ",韓国の海苔巻き「김밥(キンパ)」。酢飯をのりで巻き、ハム、卵焼き、ほうれん草、にんじん、たくあんなどをカラフルに詰めた家庭料理風の一品。ごまが散りばめられている。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0015_1.webp,,#1A1A1A,#F5F0E8,#E8A830,#D94F5C,#4A7C3F,#F2C94C,#E07B39,480,8.5,2.8,520,620,18.5,14.2,98,4.2,2,洋食,2人,自分
16,JP,東京都,男性,30歳,450万円以上 500万円未満,2,未婚,いない,営業・販売職（セールスマン、店員など）,SEQ0016_2.webp,"撮影した食事:夕食
撮影した時期:24年1月10日
撮影した時間帯:20時ごろ
どこで:自宅
誰と:1人で
何をしながら:食事を作り終えてから
何を食べたか:炒飯、野菜炒め
誰が作った料理か:自身",卵炒飯（チャーハン）と炒めキャベツの2品。炒飯はご飯に卵、ネギ、玉ねぎ、ベーコンなどを加えて炒めたもの。キャベツは塩胡椒でシンプルに炒めた副菜。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0016_2.webp,,#D4C9A8,#F5E642,#6AAF3D,#C8B89A,#F0F0F0,#8B7355,#A8D5A2,650,4.2,3.1,580,720,18.5,22,108,5.2,1,伝統ローカル料理,1人,自分
17,JP,東京都,男性,31歳,200万円未満,1,未婚,いない,その他,SEQ0017_1.webp,居酒屋で夕食,焼き鮭定食。グリルで香ばしく焼かれた鮭の切り身、白米、味噌汁、カニカマ入りコールスローサラダ、蒸し野菜と鶏肉の小鉢で構成された典型的な和定食。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0017_1.webp,,#F4A460,#FFFFFF,#8B4513,#CD5C5C,#90EE90,#D2691E,#8B0000,650,8.5,3.2,820,620,38,14,78,4.2,1,洋食,1人,自分
