SEQ,COUNTRY,RESIDENCE,SEX,AGE,HINCOME,,MARRIAGE,CHILD,JOB,Q33,Q34_JP,,,,,,,,,,,,,,,,,,,,,,,
SEQ,国,居住地,性別,年齢,"世帯
収入",HML,未既婚,子どもの有無,職業,最近の、あなたの「食事の風景」,"写真の説明（和訳）
・撮影した食事　・撮影した時期　・時間帯
・どこで　・誰と　・何をしながら　・何を食べたか
・誰が作った料理か、あるいは、どこで買った料理か",写真の内容（栄養成分＆メイン色）,写真URL,写真,カラー１,カラー２,カラー３,カラー４,カラー５,カラー６,カラー７,容量（g）,糖分（g）,塩分（g）,カリウム（mg）,カロリー (kcal),タンパク質 (g),脂肪 (g),炭水化物 (g),繊維 (g),推定人数,料理,推定人数カテゴリ,食事の相手
507,ID,ボゴール地区,男性,18歳,"Rp 9,000,000 - RP 9,999,999",2,未婚,いない,無職,SEQ0507_1.webp,1月7日の夜,黒いチョコレートケーキまたはブラウニーと思われる焼き菓子。白いクリームやフロスティングが混在し、濃い茶色から黒色の焼き色がついた断面が見える。容器に入った状態で撮影されている。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0507_1.webp,,#1a0a00,#2c1a0e,#f5f5f5,#4a2f1a,#8B6347,#d4c5b0,#3d2b1f,300,35,0.5,180,820,8,42,98,3,2,洋食,2人,恋人・配偶者
508,ID,ブカシ地区,男性,18歳,"Rp 6,000,000 - Rp 6,999,999",1,未婚,いる,営業・販売職（セールスマン、店員など）,SEQ0508_1.webp,"昼食に
2024年1月19日に撮影
金曜日の11時47分
家で
私の弟/妹と
作ってもらった
ナシゴレンを
私の姉が作りました",ナシゴレン（インドネシア風チャーハン）。炒めた白米に赤唐辛子、青ねぎ、鶏肉または豚肉を加え、甘口醤油（ケチャップマニス）で味付けした家庭料理。スパチュラで炒めた跡が見える。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0508_1.webp,,#C4956A,#8B6914,#4A7C3F,#CC3333,#D4B483,#6B4F2A,#E8C99A,250,6.5,1.8,280,380,12,10,58,2.5,1,伝統ローカル料理,1人,家族
509,ID,ジャカルタ首都特別州,男性,19歳,"Rp 12,500,000 - RP 14,999,999",2,未婚,いない,大学生（短大含む）、高専生、大学院生,SEQ0509_1.webp,大学の食堂で、お気に入りランチのフライドチキンです。恋人と一緒に昼食を食べてる時に撮影しました。,インドネシアの大学食堂のアヤムゴレン（フライドチキン）。白米の上にスパイシーなフライドチキン、キャベツの千切り、甘辛ソースがかかり、ピンク色のジュース（グアバまたはローズシロップ）が添えられている。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0509_1.webp,,#F5F5DC,#D2691E,#FF6347,#90EE90,#FFFFFF,#FFB6C1,#8B4513,550,12,2.8,520,720,32,28,85,4,2,伝統ローカル料理,2人,恋人・配偶者
510,ID,南タンゲラン,男性,19歳,"Rp 3,000,000 - Rp 3,999,999",1,未婚,いない,営業・販売職（セールスマン、店員など）,SEQ0510_1.webp,喫茶店の朝食メニューで、5日前の金曜日に「Arah Coffee」という喫茶店で撮影しました。私は一人で、朝食としてその喫茶店の店員が作ったクロワッサンとカフェラテを食べました。,クロワッサンとアイスカフェラテのセット。バターの風味豊かなクロワッサンにホイップクリームとハーブがトッピングされ、白いプレートに盛られている。アイスカフェラテはプラスチックカップにストロー付き。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0510_1.webp,,#C8860A,#F5DEB3,#FFFFFF,#D2B48C,#8B6914,#F0E68C,#A0522D,380,18,1.2,320,520,10,24,62,1.5,1,洋食,1人,自分
511,ID,ジャカルタ首都特別州,男性,21歳,"Rp 7,000,000 - Rp 7,999,999",2,未婚,いない,営業・販売職（セールスマン、店員など）,SEQ0511_1.webp,朝食の残り,白米をたっぷり盛った茶碗と、豆腐または麺に甘辛い醤油ベースのソース（黒い発酵エビペーストやケチャップマニス）をかけた料理。インドネシアの典型的な家庭朝食の残り。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0511_1.webp,,#F5F0E8,#8B4513,#2C1810,#D4C5A0,#F0EDE8,#6B3A2A,#E8E0D0,450,8,2.5,320,520,12,8,95,2,1,伝統ローカル料理,1人,自分
512,ID,ジャカルタ首都特別州,男性,22歳,"Rp 25,000,000 - RP 29,999,999",3,未婚,いない,管理職（課長クラス以上）,SEQ0512_1.webp,揚げバナナ、揚げ豆腐、揚げテンペのような揚げ物とブラックコーヒーです。,揚げバナナ（ピサンゴレン）、揚げ豆腐、揚げテンペなどの揚げ物が皿に盛られ、ブラックコーヒーと一緒に提供されるインドネシアの定番軽食・おやつセット。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0512_1.webp,,#D4A017,#8B4513,#F5DEB3,#2C1A0E,#E8C89A,#C0A882,#F0E68C,280,12,0.8,420,480,14,22,58,4,1,伝統ローカル料理,1人,自分
513,ID,ジャカルタ首都特別州,男性,23歳,"Rp 15,000,000 - RP 17,499,999",2,既婚,いる,会社団体役員,SEQ0513_1.webp,私は夕方、家で焼き鳥を注文して、フードデリバリーを利用して食べました。,アヤムバカール（インドネシア風焼き鳥）。炭火で香ばしく焼いたチキンに、チリソース（サンバル）、ライム、キュウリ、玉ねぎ、生野菜を添えた定番ローカルフード。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0513_1.webp,,#8B3A0F,#D4691E,#F4A62A,#4CAF50,#F5F5DC,#E8E8D0,#C8A882,380,8,2.8,620,480,38,22,18,3,1,伝統ローカル料理,1人,自分
514,ID,ジャカルタ首都特別州,男性,24歳,"Rp 6,000,000 - Rp 6,999,999",1,既婚,いる,サービス業（理容師、運転手など）,SEQ0514_1.webp,"数日前に私のメイン携帯で撮った私の夕食の写真で、それを私の第二携帯（この携帯）にWA（WhatsApp）で送り、スクリーンショットしてから本調査に提出しました。

写真は夕方に、妻が作った料理を私が自宅で一人でテレビを観ながら食べたものです。",ミーゴレン（炒めインスタント麺）、白飯、野菜（ズッキーニまたはナスビ）のカレー風味煮込みを一皿に盛り合わせたインドネシア家庭料理。オレンジがかったスパイシーなソースが特徴。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0514_1.webp,,#D4823A,#F5F0E8,#C4691E,#8B6914,#E8C87A,#A0522D,#F2E4C4,550,8,3.2,520,720,18,22,108,4,1,伝統ローカル料理,1人,自分
515,ID,ジャカルタ首都特別州,男性,24歳,"Rp 7,000,000 - Rp 7,999,999",2,既婚,いる,自由業、専門職（医者、弁護士など）,SEQ0515_2.webp,ラーメンを食べ、その後は仕事を続けました。,ミーゴレン（インドネシア風焼きそば）。炒めた即席麺にトマト、肉、揚げ物をトッピング。濃いめの甘辛タレで味付けされた茶色がかったオレンジ色の炒め麺料理。箸で食べる。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0515_2.webp,,#C8621A,#D4A055,#8B3A0F,#E8C080,#CC3300,#F5E0B0,#6B4226,450,12,3.8,420,620,18,22,85,3,1,伝統ローカル料理,1人,自分
516,ID,ジャカルタ首都特別州,男性,25歳,"Rp 7,000,000 - Rp 7,999,999",2,既婚,いる,家業手伝い：製造業（工場）,SEQ0516_1.webp,昼食にソウマイ（肉団子）ピーナッツソース和え,インドネシアのシウマイ（蒸し肉団子）をピーナッツソースで和えた料理。プラスチック容器に入り、カラマンシーライム2個とABCサンバルソースのパケット付き。魚や鶏肉ベースの団子が特徴。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0516_1.webp,,#F5E6D0,#8B9E4A,#D4A853,#F0F0F0,#C8B89A,#4A7A3A,#E8D5B0,250,6,1.8,320,320,18,14,28,2.5,1,伝統ローカル料理,1人,自分
