SEQ,COUNTRY,RESIDENCE,SEX,AGE,HINCOME,,MARRIAGE,CHILD,JOB,Q33,Q34_JP,,,,,,,,,,,,,,,,,,,,,,,
,国,居住地,性別,年齢,"世帯
収入",HML,未既婚,子どもの有無,職業,最近の、あなたの「食事の風景」,"写真の説明（和訳）
・撮影した食事　・撮影した時期　・時間帯
・どこで　・誰と　・何をしながら　・何を食べたか
・誰が作った料理か、あるいは、どこで買った料理か",写真の内容（栄養成分＆メイン色）,写真URL,写真,カラー１,カラー２,カラー３,カラー４,カラー５,カラー６,カラー７,容量（g）,糖分（g）,塩分（g）,カリウム（mg）,カロリー (kcal),タンパク質 (g),脂肪 (g),炭水化物 (g),繊維 (g),推定人数,料理,推定人数カテゴリ,食事の相手
652,MY,ペタリンジャヤ,男性,18歳,"RM 7,000 - 7,999",2,未婚,いない,大学生（短大含む）、高専生、大学院生,SEQ0652_1.webp,昼食。写真は数週間前に撮ったもので、午後4時ごろに撮った。家族と一緒にいて、私がミートボールとチキンチョップの食事を作った,自家製ミートボール（大豆ミート系）と照り焼き風チキンチョップ、ミルクティー（テータリク風）の組み合わせ。ミートボールは揚げた球状、チキンは焦げ目がついており、スパイシーな味付け。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0652_1.webp,,#8B6914,#D4A96A,#3D2B1F,#F5F0E8,#C0392B,#E8C97A,#B5651D,550,12,2.8,620,680,42,38,35,4,2,伝統ローカル料理,2人,家族
653,MY,ペタリンジャヤ,男性,19歳,"RM 5,000 - 5,999",2,未婚,いない,大学生（短大含む）、高専生、大学院生,SEQ0653_1.webp,3日くらい前。伝統的な中東の（？）おやつで、乾燥したパンのようなもの。誰かと一緒ではなく一人でお茶を飲みながら食べた,リング状の黄金色の乾燥焼き菓子。中東系の伝統的なビスケットで、カリッとした食感のリング型クッキー。ゴマや小麦粉、油脂を使用したシンプルな焼き菓子と思われる。大量にボウルと袋に入れられている。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0653_1.webp,,#D4A843,#C8922E,#E8C068,#F0D080,#A87830,#C0C0C0,#FFFFFF,300,18,1.2,210,1200,18,48,168,6,1,多国籍料理,1人,自分
654,MY,クアラ・ルンプール,男性,19歳,"RM 10,000 - 11,999",2,未婚,いない,技術職（エンジニア、プログラマーなど）,SEQ0654_1.webp,私と家族の夕食。昨晩の夕食後の午後9時ごろに撮影した。家族全員でこの食事を楽しみ、スパイシーなグレービーソースと塩漬けの魚のフライをライスと一緒に食べた。母と姉（又は妹）が得意げに作ってくれた。おいしかった,マレーシア家庭料理。スパイシーなグレービーソース（濃い黒褐色のソース）に煮込まれた魚の切り身と、小皿に盛られた塩漬け魚のフライ（イカンビリス風）。香辛料たっぷりの家庭風イカンマサク料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0654_1.webp,,#3D1A0A,#8B3A0F,#C4651A,#F0C060,#F5E6D0,#FFFFFF,#C8A0A0,450,6,3.8,720,420,38,24,14,2,3,伝統ローカル料理,3人,家族
655,MY,クアラ・ルンプール,男性,20歳,"RM 3,500 - 3,999",1,未婚,いない,家業手伝い：その他,SEQ0655_1.webp,私の昼食で、2023年12月1日の写真。午後に撮った。両親と弟と一緒だった。私はYouTubeを見ながら水を飲んでいた。母が作ってくれた,チキンビリヤニ（ナシビリヤニ）。スパイスで炊いたバスマティライスにタンドール風チキンを添え、玉ねぎのライタをトッピング。オレンジ色が鮮やかなマレーシア家庭料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0655_1.webp,,#E8892B,#F4C842,#D4522A,#F5F0E8,#C0392B,#8B4513,#F0E68C,550,6,2.8,620,720,38,22,95,3.5,1,伝統ローカル料理,1人,家族
656,MY,セランゴール州のその他のエリア,男性,20歳,"RM 7,000 - 7,999",2,未婚,いる,大学生（短大含む）、高専生、大学院生,SEQ0656_1.webp,先週、お気に入りのファストフードチェーンのハンバーガーを食べた。自宅でインターネットをしながら食べている,クリスピーフライドチキンバーガー。サクサクに揚げたチキンパティにレタス、オニオンをはさんだバンズ。背景のソースカップからTexas Chickenと推定される。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0656_1.webp,,#C8860A,#F5DEB3,#8B4513,#5D8A3C,#F5F5F0,#D2691E,#FFFACD,280,8,2.1,380,520,28,24,48,2,1,洋食,1人,自分
657,MY,クアラ・ルンプール,男性,22歳,"RM 5,000 - 5,999",2,未婚,いない,技術職（エンジニア、プログラマーなど）,SEQ0657_1.webp,朝食で、今朝撮影。自宅で家族と一緒に食べた。両親が作ってくれた,ナシレマ：ココナッツミルクで炊いた白米を中心に、サンバルソース、ゆで卵、キュウリ、イカン・ビリス（小魚の揚げ物）、ピーナッツ、レンダン（スパイス煮込み肉）を添えたマレーシアの伝統的な朝食料理,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0657_1.webp,,#F5F0E8,#8B1A1A,#C4782A,#D4A853,#6B3A2A,#4A7C2F,#F0D080,550,6,3.2,620,720,32,35,75,5,1,伝統ローカル料理,1人,家族
658,MY,プトラジャヤ,男性,24歳,"RM 4,500 - 4,999",1,未婚,いる,高校生、浪人生,SEQ0658_2.webp,"夕食
ホステルで食べた
一人で
YouTubeを見ながら
Maggie
自分で作った",マギーミーゴレン（インスタント焼きそば）に目玉焼きをトッピングした一人食。茶色いソースで炒めた縮れ麺に半熟卵が乗り、シンプルながらマレーシアの定番ホステル飯。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0658_2.webp,,#8B6914,#D4A017,#F5F0E8,#C17D2A,#F4C430,#3D2B1F,#FAEBD7,350,8,2.8,280,520,18,22,65,2.5,1,伝統ローカル料理,1人,自分
659,MY,セパン,男性,26歳,"RM 5,000 - 5,999",2,未婚,いない,管理職（課長クラス以上）,SEQ0659_1.webp,"- ランチ
- 2日前
- 結婚式で
- いとこ
- ランチを食べている
- ライスと肉、野菜、鶏肉
- 結婚式で",マレーシアの結婚式料理。ナシ（白米）、チキンカレー、レンダン風肉料理、サンバル、野菜炒め、スープなど複数のおかずを大皿に盛り合わせた伝統的なマレー式ウェディングフィースト,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0659_1.webp,,#8B1A1A,#D2691E,#F4A460,#FFFAF0,#556B2F,#CD853F,#B22222,1800,18,8.5,1850,1650,72,65,195,12,4,伝統ローカル料理,4人以上,家族
660,MY,カジャン,男性,27歳,"RM 12,000 - 13,999",3,未婚,いない,会社団体役員,SEQ0660_1.webp,"Moktiアイスクリーム
ティータイム
先月2023年12月
バンダースリプトラで
一人で食事",パンダンフレーバーの緑色ソフトクリームに、蜂の巣ハニカム、黒糖タピオカパール、カラメルソースをトッピングしたマレーシアのデザートカップ。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0660_1.webp,,#4CAF50,#8B4513,#F5C842,#2E7D32,#D4A017,#1A1A1A,#A5D6A7,280,52,0.2,180,380,5,12,65,1,1,伝統ローカル料理,1人,自分
661,MY,クアラ・ルンプール,男性,28歳,"RM 5,000 - 5,999",2,既婚,いる,事務職（教員も含む）,SEQ0661_1.webp,"昼食
2024年1月16日火曜日
午後1時
職場
一人で
ランチタイム
ブラウンシュガーココナッツ入りもち米
妻",ブラウンシュガーとココナッツを添えたもち米（プルット）。オレンジ色のボウルに白いもち米が盛られ、隣の小皿にはブラウンシュガーとすりおろしたココナッツのトッピングが添えられている伝統的なマレーシアのデザート・軽食。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0661_1.webp,,#F26522,#FFFFFF,#F5F5F0,#5C3A1E,#8B6340,#D4C5A9,#F0EAD6,250,18,0.3,120,320,5,6,62,2,1,伝統ローカル料理,1人,恋人・配偶者
662,MY,クラン,男性,28歳,"RM 14,000 - 15,999",3,未婚,いない,技術職（エンジニア、プログラマーなど）,SEQ0662_1.webp,夕食の時間。韓国料理,韓国風ロゼトッポギまたはラーメン。濃厚なオレンジ色のロゼソース（辛味と生クリームを合わせたソース）に、半熟卵2個、シュレッドチーズ、乾燥ハーブをトッピングした鉄鍋料理。,https://hakuhodo-hill.com/glpe/photos/scenes-of-meals/webp/SEQ0662_1.webp,,#E8621A,#F5A623,#FFFFFF,#F5F0C8,#2C2C2C,#8B7355,#5C8A3C,650,12,3.8,420,680,28,32,72,3,1,韓国料理,1人,自分
